(city(Issaquah)) --> (gender(f)), {C=0.004960606944849723}
(gender(f)) --> (city(Issaquah)), {C=0.004960606944849723}
(city(Lynnwood)) --> (gender(f)), {C=0.006516875790292773}
(gender(f)) --> (city(Lynnwood)), {C=0.006516875790292773}
(city(Richmond)) --> (gender(f)), {C=0.00904581266413773}
(gender(f)) --> (city(Richmond)), {C=0.00904581266413773}
(city(Oak Bay)) --> (gender(f)), {C=0.005446940959050676}
(gender(f)) --> (city(Oak Bay)), {C=0.005446940959050676}
(city(Camacho)) --> (gender(f)), {C=0.005252407353370295}
(gender(f)) --> (city(Camacho)), {C=0.005252407353370295}
(city(Bellingham)) --> (gender(f)), {C=0.0056414745647310575}
(gender(f)) --> (city(Bellingham)), {C=0.0056414745647310575}
(city(Milwaukie)) --> (gender(f)), {C=0.0048633401420095325}
(gender(f)) --> (city(Milwaukie)), {C=0.0048633401420095325}
(city(Concord)) --> (gender(f)), {C=0.005349674156210485}
(gender(f)) --> (city(Concord)), {C=0.005349674156210485}
(city(Merida)) --> (gender(f)), {C=0.005252407353370295}
(gender(f)) --> (city(Merida)), {C=0.005252407353370295}
(city(Lebanon)) --> (gender(f)), {C=0.0056414745647310575}
(gender(f)) --> (city(Lebanon)), {C=0.0056414745647310575}
(city(Bellflower)) --> (gender(f)), {C=0.0050578737476899135}
(gender(f)) --> (city(Bellflower)), {C=0.0050578737476899135}
(city(Hidalgo)) --> (gender(f)), {C=0.00603054177609182}
(gender(f)) --> (city(Hidalgo)), {C=0.00603054177609182}
(city(Coronado)) --> (gender(f)), {C=0.00612780857893201}
(gender(f)) --> (city(Coronado)), {C=0.00612780857893201}
(city(Shawnee)) --> (gender(f)), {C=0.006711409395973154}
(gender(f)) --> (city(Shawnee)), {C=0.006711409395973154}
(city(Downey)) --> (gender(f)), {C=0.0048633401420095325}
(gender(f)) --> (city(Downey)), {C=0.0048633401420095325}
(city(Lemon Grove)) --> (gender(f)), {C=0.005544207761890867}
(gender(f)) --> (city(Lemon Grove)), {C=0.005544207761890867}
(city(San Jose)) --> (gender(f)), {C=0.005446940959050676}
(gender(f)) --> (city(San Jose)), {C=0.005446940959050676}
(city(Langford)) --> (gender(f)), {C=0.0050578737476899135}
(gender(f)) --> (city(Langford)), {C=0.0050578737476899135}
(city(Acapulco)) --> (gender(f)), {C=0.004960606944849723}
(gender(f)) --> (city(Acapulco)), {C=0.004960606944849723}
(city(National City)) --> (gender(f)), {C=0.005252407353370295}
(gender(f)) --> (city(National City)), {C=0.005252407353370295}
(city(Guadalajara)) --> (gender(f)), {C=0.005738741367571248}
(gender(f)) --> (city(Guadalajara)), {C=0.005738741367571248}
(city(Port Hammond)) --> (gender(f)), {C=0.0050578737476899135}
